PO	B	E	H	L	M	R	T
0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1	0.0	1.0	0.0	0.0	0.0	0.0	0.0
2	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3	0.0	1.0	0.0	0.0	0.0	0.0	0.0
4	0.0	1.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.333333333333	0.0	0.666666666667	0.0	0.0	0.0
6	0.0	0.333333333333	0.0	0.666666666667	0.0	0.0	0.0
7	0.0	0.333333333333	0.0	0.666666666667	0.0	0.0	0.0
8	0.0	0.333333333333	0.0	0.666666666667	0.0	0.0	0.0
9	0.666666666667	0.333333333333	0.0	0.0	0.0	0.0	0.0
10	0.0	0.230769230769	0.0	0.769230769231	0.0	0.0	0.0
11	0.0	0.0	0.0	1.0	0.0	0.0	0.0
12	0.615384615385	0.0	0.0	0.384615384615	0.0	0.0	0.0
13	0.0	0.0	0.0	1.0	0.0	0.0	0.0
14	0.153846153846	0.0	0.0	0.153846153846	0.0	0.0	0.692307692308
15	0.0	0.0714285714286	0.0	0.928571428571	0.0	0.0	0.0
16	0.0	0.0714285714286	0.0	0.928571428571	0.0	0.0	0.0
17	0.0	0.0714285714286	0.0	0.785714285714	0.0	0.0	0.142857142857
18	0.0	0.0714285714286	0.0	0.785714285714	0.0	0.0	0.142857142857
19	0.0	0.0714285714286	0.642857142857	0.285714285714	0.0	0.0	0.0
20	0.0	0.0666666666667	0.6	0.333333333333	0.0	0.0	0.0
21	0.0	0.0666666666667	0.6	0.2	0.0	0.0	0.133333333333
22	0.0	0.0666666666667	0.0	0.0	0.0666666666667	0.6	0.266666666667
23	0.0	0.0666666666667	0.0	0.0	0.0666666666667	0.6	0.266666666667
24	0.0	0.0	0.0	0.4	0.0	0.6	0.0
25	0.0	0.0	0.0	0.4375	0.0	0.5625	0.0
26	0.0	0.0	0.125	0.1875	0.0	0.0	0.6875
27	0.0	0.0	0.125	0.0	0.1875	0.5625	0.125
