PO	B	E	H	L	M	R	T
0	0.0368598260862	0.772468509634	0.0368598260862	0.0368598260862	0.0368598260862	0.0432323599351	0.0368598260862
1	0.0	0.995881891898	0.0	0.00411810810165	0.0	0.0	0.0
2	0.00428495269343	0.896192155344	0.00428495269343	0.0823830811889	0.00428495269343	0.00428495269343	0.00428495269343
3	0.0256614507578	0.472676731862	0.0256614507578	0.399016014349	0.0256614507578	0.0256614507578	0.0256614507578
4	0.0324606919707	0.0735862149607	0.0324606919707	0.764110325186	0.0324606919707	0.0324606919707	0.0324606919707
5	0.0	0.0129929054408	0.0	0.987007094559	0.0	0.0	0.0
6	0.00875779694009	0.00875779694009	0.0111567182774	0.945054297022	0.00875779694009	0.00875779694009	0.00875779694009
7	0.0491589257487	0.0488505565638	0.0799426180213	0.675496229975	0.0488505565638	0.0488505565638	0.0488505565638
8	0.0236441006263	0.0236441006263	0.173810933488	0.70796856338	0.0236441006263	0.0236441006263	0.0236441006263
9	0.0	0.0	0.994708161279	0.0	0.0	0.00529183872068	0.0
10	0.0173278542225	0.0173278542225	0.896032874665	0.0173278542225	0.0173278542225	0.0173278542225	0.0173278542225
11	0.0318557765404	0.0318557765404	0.806346126322	0.0318557765404	0.0318557765404	0.0343749909764	0.0318557765404
12	0.0318557765404	0.0318557765404	0.802349369254	0.0318557765404	0.0318557765404	0.0383717480442	0.0318557765404
13	0.0508410490959	0.0508410490959	0.0900188637806	0.0508410490959	0.0508410490959	0.65577589074	0.0508410490959
14	0.00627374472014	0.00627374472014	0.0217920252057	0.00627374472014	0.00627374472014	0.946839251194	0.00627374472014
15	0.0	0.0	0.0	0.0	0.0	1.0	0.0
16	0.00760754335746	0.015223950511	0.00760754335746	0.00760754335746	0.00760754335746	0.946738332702	0.00760754335746
17	0.0852775129466	0.0932424698906	0.0852775129466	0.100305005061	0.0852775129466	0.465342473262	0.0852775129466
